Student,Exam,BPM,Score
S5,Midterm 2,1.0,77.0
S5,Midterm 2,82.0,77.0
S5,Midterm 2,85.5,77.0
S5,Midterm 2,87.33,77.0
S5,Midterm 2,86.25,77.0
S5,Midterm 2,91.4,77.0
S5,Midterm 2,90.0,77.0
S5,Midterm 2,93.14,77.0
S5,Midterm 2,96.12,77.0
S5,Midterm 2,98.33,77.0
S5,Midterm 2,100.1,77.0
S5,Midterm 2,101.64,77.0
S5,Midterm 2,103.08,77.0
S5,Midterm 2,104.46,77.0
S5,Midterm 2,105.5,77.0
S5,Midterm 2,106.47,77.0
S5,Midterm 2,107.25,77.0
S5,Midterm 2,107.94,77.0
S5,Midterm 2,108.61,77.0
S5,Midterm 2,109.11,77.0
S5,Midterm 2,109.4,77.0
S5,Midterm 2,109.81,77.0
S5,Midterm 2,110.14,77.0
S5,Midterm 2,110.35,77.0
S5,Midterm 2,110.96,77.0
S5,Midterm 2,111.52,77.0
S5,Midterm 2,112.0,77.0
S5,Midterm 2,112.63,77.0
S5,Midterm 2,113.11,77.0
S5,Midterm 2,113.59,77.0
S5,Midterm 2,114.0,77.0
S5,Midterm 2,114.35,77.0
S5,Midterm 2,114.69,77.0
S5,Midterm 2,114.91,77.0
S5,Midterm 2,115.03,77.0
S5,Midterm 2,115.11,77.0
S5,Midterm 2,115.22,77.0
S5,Midterm 2,115.35,77.0
S5,Midterm 2,114.74,77.0
S5,Midterm 2,114.15,77.0
S5,Midterm 2,113.55,77.0
S5,Midterm 2,113.05,77.0
S5,Midterm 2,112.38,77.0
S5,Midterm 2,111.79,77.0
S5,Midterm 2,111.16,77.0
S5,Midterm 2,110.49,77.0
S5,Midterm 2,109.76,77.0
S5,Midterm 2,109.09,77.0
S5,Midterm 2,108.54,77.0
S5,Midterm 2,108.02,77.0
S5,Midterm 2,107.58,77.0
S5,Midterm 2,107.29,77.0
S5,Midterm 2,107.17,77.0
S5,Midterm 2,107.11,77.0
S5,Midterm 2,107.06,77.0
S5,Midterm 2,107.0,77.0
S5,Midterm 2,106.96,77.0
S5,Midterm 2,106.98,77.0
S5,Midterm 2,106.97,77.0
S5,Midterm 2,106.93,77.0
S5,Midterm 2,106.87,77.0
S5,Midterm 2,107.22,77.0
S5,Midterm 2,107.45,77.0
S5,Midterm 2,107.65,77.0
S5,Midterm 2,107.98,77.0
S5,Midterm 2,107.82,77.0
S5,Midterm 2,108.15,77.0
S5,Midterm 2,108.03,77.0
S5,Midterm 2,107.8,77.0
S5,Midterm 2,107.58,77.0
S5,Midterm 2,107.15,77.0
S5,Midterm 2,106.68,77.0
S5,Midterm 2,106.22,77.0
S5,Midterm 2,105.73,77.0
S5,Midterm 2,105.27,77.0
S5,Midterm 2,104.77,77.0
S5,Midterm 2,104.23,77.0
S5,Midterm 2,103.7,77.0
S5,Midterm 2,103.1,77.0
S5,Midterm 2,102.55,77.0
S5,Midterm 2,102.62,77.0
S5,Midterm 2,102.15,77.0
S5,Midterm 2,101.73,77.0
S5,Midterm 2,101.38,77.0
S5,Midterm 2,101.8,77.0
S5,Midterm 2,102.25,77.0
S5,Midterm 2,102.72,77.0
S5,Midterm 2,103.1,77.0
S5,Midterm 2,103.53,77.0
S5,Midterm 2,103.93,77.0
S5,Midterm 2,104.82,77.0
S5,Midterm 2,105.73,77.0
S5,Midterm 2,106.65,77.0
S5,Midterm 2,107.62,77.0
S5,Midterm 2,108.63,77.0
S5,Midterm 2,107.93,77.0
S5,Midterm 2,107.23,77.0
S5,Midterm 2,106.38,77.0
S5,Midterm 2,106.02,77.0
S5,Midterm 2,105.62,77.0
S5,Midterm 2,105.3,77.0
S5,Midterm 2,104.95,77.0
S5,Midterm 2,104.75,77.0
S5,Midterm 2,105.0,77.0
S5,Midterm 2,105.15,77.0
S5,Midterm 2,105.37,77.0
S5,Midterm 2,105.65,77.0
S5,Midterm 2,106.7,77.0
S5,Midterm 2,108.05,77.0
S5,Midterm 2,109.42,77.0
S5,Midterm 2,110.73,77.0
S5,Midterm 2,111.93,77.0
S5,Midterm 2,112.95,77.0
S5,Midterm 2,113.9,77.0
S5,Midterm 2,114.88,77.0
S5,Midterm 2,115.87,77.0
S5,Midterm 2,116.85,77.0
S5,Midterm 2,117.73,77.0
S5,Midterm 2,118.68,77.0
S5,Midterm 2,119.68,77.0
S5,Midterm 2,120.73,77.0
S5,Midterm 2,121.75,77.0
S5,Midterm 2,122.55,77.0
S5,Midterm 2,123.37,77.0
S5,Midterm 2,124.47,77.0
S5,Midterm 2,125.52,77.0
S5,Midterm 2,126.55,77.0
S5,Midterm 2,127.55,77.0
S5,Midterm 2,128.52,77.0
S5,Midterm 2,129.48,77.0
S5,Midterm 2,130.7,77.0
S5,Midterm 2,131.92,77.0
S5,Midterm 2,133.08,77.0
S5,Midterm 2,134.23,77.0
S5,Midterm 2,135.45,77.0
S5,Midterm 2,136.68,77.0
S5,Midterm 2,137.98,77.0
S5,Midterm 2,139.3,77.0
S5,Midterm 2,140.62,77.0
S5,Midterm 2,141.93,77.0
S5,Midterm 2,142.7,77.0
S5,Midterm 2,143.97,77.0
S5,Midterm 2,145.2,77.0
S5,Midterm 2,146.38,77.0
S5,Midterm 2,146.65,77.0
S5,Midterm 2,146.85,77.0
S5,Midterm 2,147.1,77.0
S5,Midterm 2,147.4,77.0
S5,Midterm 2,147.67,77.0
S5,Midterm 2,147.92,77.0
S5,Midterm 2,147.73,77.0
S5,Midterm 2,147.55,77.0
S5,Midterm 2,147.35,77.0
S5,Midterm 2,147.13,77.0
S5,Midterm 2,146.77,77.0
S5,Midterm 2,148.13,77.0
S5,Midterm 2,149.45,77.0
S5,Midterm 2,150.93,77.0
S5,Midterm 2,152.43,77.0
S5,Midterm 2,153.95,77.0
S5,Midterm 2,155.42,77.0
S5,Midterm 2,156.83,77.0
S5,Midterm 2,158.25,77.0
S5,Midterm 2,159.18,77.0
S5,Midterm 2,160.52,77.0
S5,Midterm 2,161.77,77.0
S5,Midterm 2,162.98,77.0
S5,Midterm 2,163.38,77.0
