Student,Exam,Score,BPM
S1,Final,91.0,106.11701428082777
S1,Midterm 1,78.0,103.10460519247985
S1,Midterm 2,82.0,110.98459561466572
S10,Final,58.0,105.46919965315412
S10,Midterm 1,89.0,106.59321774124497
S10,Midterm 2,64.0,107.39264191635215
S2,Final,90.0,119.89717111497157
S2,Midterm 1,82.0,111.4502964261857
S2,Midterm 2,85.0,106.64387503603344
S3,Final,94.0,104.5060887924689
S3,Midterm 1,77.0,105.6746017699115
S3,Midterm 2,90.0,97.40297577178585
S4,Final,74.5,92.66505720392256
S4,Midterm 1,75.0,110.62642019683355
S4,Midterm 2,77.0,94.8011894799761
S5,Final,78.5,95.3982461780723
S5,Midterm 1,67.0,108.24774701909448
S5,Midterm 2,77.0,113.3091289140573
S6,Final,87.5,103.85598377451596
S6,Midterm 1,71.0,107.03607806191118
S6,Midterm 2,64.0,104.68564024820195
S7,Final,55.0,101.22308044806518
S7,Midterm 1,64.0,112.37405575757575
S7,Midterm 2,33.0,98.9383322535863
S8,Final,92.0,102.16585029069768
S8,Midterm 1,92.0,113.66196342369105
S8,Midterm 2,88.0,102.69034562443484
S9,Final,63.0,86.69740949429497
S9,Midterm 1,80.0,108.34613114495384
S9,Midterm 2,39.0,103.0987104564115
